Price[1000Eur],City,Brand,Body,1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty
9.8,1,0,0,99.366,95,2,0,1,0,1,1
6.5,1,0,0,246.0,86,0,0,1,0,0,2
11.95,1,0,0,63.0,86,2,0,1,0,0,1
12.49,1,0,0,159.063,116,2,1,1,0,0,2
13.99,1,0,0,67.5,116,2,1,1,0,1,2
14.49,1,0,0,129.55,185,0,0,0,0,0,0
12.32,1,0,0,117.39399999999999,95,2,0,1,0,0,1
10.49,1,0,0,132.658,90,2,1,1,0,1,0
14.69,1,0,0,117.95700000000001,105,0,1,0,0,1,2
13.44,1,0,0,51.976000000000006,86,2,0,1,0,1,1
13.79,1,0,0,60.0,90,2,1,1,0,1,2
13.35,1,0,0,85.4,90,2,1,1,1,1,2
13.69,1,0,0,85.156,82,3,0,1,0,1,1
17.9,1,0,0,34.5,116,6,0,1,0,0,0
16.49,1,0,0,89.0,116,7,0,1,0,0,1
16.49,1,0,0,89.0,116,7,0,1,0,0,1
19.99,1,0,0,75.071,116,6,0,0,0,0,0
19.61,1,0,0,39.5,116,7,0,1,0,0,0
19.88,1,0,0,17.7,95,6,0,1,0,1,0
16.95,1,0,0,45.948,95,3,0,0,0,1,1
19.99,1,0,0,65.5,116,6,0,1,0,1,1
15.49,1,0,0,35.095,95,3,0,1,0,1,1
16.5,1,0,0,173.0,177,2,1,0,1,0,2
19.988,1,0,0,22.93,116,6,0,1,0,0,2
19.42,1,0,0,49.801,110,8,0,1,0,0,1
19.89,1,0,0,86.0,116,6,1,0,0,1,0
18.5,1,0,0,40.5,95,7,0,1,0,1,0
16.22,1,0,0,18.323,95,5,0,0,0,0,0
16.28,1,0,0,43.6,95,5,0,1,0,2,2
24.45,1,0,0,4.2,110,9,0,0,0,0,2
21.55,1,0,0,42.858999999999995,116,6,0,0,0,0,0
23.658,1,0,0,30.9,116,6,0,0,0,0,2
23.45,1,0,0,49.7,116,6,0,0,0,0,2
23.59,1,0,0,26.32,116,7,0,0,0,1,0
23.99,1,0,0,8.6,95,9,0,1,0,0,2
24.88,1,0,0,6.0,110,9,0,1,0,0,2
20.82,1,0,0,25.0,95,7,0,0,0,0,2
22.88,1,0,0,13.052,116,6,0,0,0,0,0
24.88,1,0,0,0.2,110,9,0,1,0,0,2
21.685,1,0,0,60.4,150,6,0,0,0,0,1
23.95,1,0,0,11.2,95,8,0,1,0,0,2
23.88,1,0,0,22.8,95,8,0,1,0,0,2
20.9,1,0,0,50.96,150,5,0,0,0,1,0
21.89,1,0,0,61.95,116,5,0,0,0,1,0
22.38,1,0,0,27.9,110,8,0,1,0,0,2
23.95,1,0,0,23.693,110,9,0,1,0,0,1
24.45,1,0,0,16.672,110,9,0,1,0,0,1
22.19,1,0,0,15.9,116,6,0,1,0,0,2
20.79,1,0,0,11.2,95,7,0,1,0,0,2
24.88,1,0,0,6.0,110,9,0,1,0,0,2
23.99,1,0,0,75.2,200,6,0,0,0,1,1
25.98,1,0,0,89.4,200,7,0,0,0,0,2
28.98,1,0,0,2.0,110,9,0,0,0,0,2
27.5,1,0,0,108.0,204,0,1,0,1,0,2
25.58,1,0,0,2.8,110,9,0,1,0,0,2
25.91,1,0,0,26.3,200,7,0,0,0,0,2
25.58,1,0,0,2.8,110,9,0,1,0,0,2
29.37,1,0,0,8.69,110,9,0,0,0,0,2
26.39,1,0,0,41.941,200,6,0,0,0,0,0
26.75,1,0,0,17.2,110,8,0,1,0,0,1
27.488000000000003,1,0,0,0.01,150,10,0,1,0,0,2
27.488000000000003,1,0,0,0.01,110,10,0,0,0,0,2
26.74,1,0,0,17.5,110,9,0,1,0,0,2
26.988000000000003,1,0,0,52.0,200,6,0,0,0,0,2
29.988000000000003,1,0,0,0.01,150,10,0,0,0,0,2
28.49,1,0,0,6.9,110,9,0,0,0,0,1
28.18,1,0,0,16.8,150,7,0,0,0,0,2
29.688000000000002,1,0,0,0.01,110,10,0,0,0,0,2
25.49,1,0,0,28.8,200,6,0,0,0,1,2
29.97,1,0,0,12.99,110,9,0,0,0,0,2
26.39,1,0,0,24.8,150,8,0,0,0,0,2
26.79,1,0,0,8.0,110,8,0,1,0,0,0
27.968000000000004,1,0,0,14.43,150,8,0,0,0,0,0
26.59,1,0,0,19.0,110,8,0,1,0,1,2
27.88,1,0,0,32.6,200,6,0,0,0,0,2
39.49,1,0,0,16.0,197,8,0,0,1,0,2
33.48,1,0,0,0.01,150,9,0,0,0,0,0
32.5,1,0,0,5.0,150,10,0,0,0,0,0
31.969,1,0,0,4.93,207,9,0,0,0,0,1
36.65,1,0,0,16.5,200,8,0,0,0,0,2
33.98,1,0,0,1.5,150,10,0,0,0,0,0
32.969,1,0,0,9.548,207,9,0,0,0,0,1
32.75,1,0,0,3.5,110,9,0,0,0,0,1
30.44,1,0,0,23.0,150,8,0,0,0,0,0
33.77,1,0,0,9.99,207,9,0,0,0,0,2
32.188,1,0,0,0.01,150,10,0,0,0,0,2
31.288,1,0,0,0.01,150,10,0,0,0,0,2
31.79,1,0,0,5.0,110,9,0,0,0,0,1
35.388000000000005,1,0,0,0.01,150,10,0,0,0,0,2
34.878,1,0,0,0.01,150,10,0,0,0,0,2
40.07,1,0,0,6.97,207,10,0,0,0,0,1
40.17,1,0,0,4.97,207,10,0,0,0,0,1
54.79,1,0,0,1.1,310,10,0,0,0,1,2
11.95,1,0,3,63.0,86,2,0,1,0,0,1
14.69,1,0,3,112.0,140,0,1,1,0,0,1
14.7,1,0,3,260.0,177,0,1,0,1,0,2
12.999,1,0,3,165.0,224,0,0,0,1,0,2
19.22,1,0,3,38.275999999999996,116,6,0,1,0,0,0
17.49,1,0,3,255.0,190,2,1,0,0,0,2
